recording,loc,frame_id,time_sec,person_rank,person_count,bbox,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area,yolo_conf,dist_conf2,dist_conf1,gt_distance_m,band,has_conf2,conf2_pixel_count,conf1_pixel_count,conf2_vs_conf1_abs_diff_m,divergence_flag,sharpness,vest,hard_hat,occlusion,orientation,lateral
Garage1,Garage,1704,28.41108625009656,1,2,"665.90,407.36,761.34,705.43",665.89501953125,407.3579406738281,761.3421630859375,705.4315185546875,28450.27157785371,0.8733850121498108,4.234375,4.23828125,4.234375,3-5,True,450,670,0.00390625,False,2060.421937901317,,,,,
Garage1,Garage,1704,28.41108625009656,2,2,"234.24,420.80,340.25,628.79",234.24375915527344,420.8015441894531,340.25128173828125,628.791015625,22048.448590231594,0.8738968968391418,6.46875,5.50390625,6.46875,>5,True,112,457,0.96484375,True,1473.9724033113614,,,,,
Garage1,Garage,1728,28.81124141602777,1,2,"634.70,403.56,741.82,707.29",634.7005615234375,403.56451416015625,741.822998046875,707.2886962890625,32535.67442073673,0.9055755734443665,4.890625,4.13671875,4.890625,3-5,True,30,695,0.75390625,True,2182.146736196592,,,,,
Garage1,Garage,1728,28.81124141602777,2,2,"321.09,414.21,387.75,608.45",321.08746337890625,414.20782470703125,387.7467956542969,608.4515991210938,12948.160301093012,0.74559485912323,5.91015625,5.900390625,5.91015625,>5,True,109,256,0.009765625,False,1969.1537197816735,,,,,
Garage1,Garage,1752,29.21139641618356,1,2,"590.73,408.97,713.07,703.39",590.7252197265625,408.96588134765625,713.065673828125,703.3914184570312,36020.15390905738,0.8739671111106873,4.171875,4.18359375,4.171875,3-5,True,657,797,0.01171875,False,1405.964959632496,,,,,
Garage1,Garage,1752,29.21139641618356,2,2,"382.62,417.36,442.15,591.46",382.61883544921875,417.35894775390625,442.1509094238281,591.4598999023438,10364.590762350708,0.7095022201538086,6.38671875,6.4140625,6.38671875,>5,True,52,227,0.02734375,False,2167.4880340834425,,,,,
Garage1,Garage,1776,29.611551333218813,1,2,"585.85,406.48,654.39,693.46",585.8491821289062,406.483154296875,654.386474609375,693.4572143554688,19668.425088543445,0.8044403195381165,4.17578125,4.1796875,4.17578125,3-5,True,411,492,0.00390625,False,2149.698193027211,,,,,
Garage1,Garage,1776,29.611551333218813,2,2,"416.89,409.89,495.44,581.80",416.8946228027344,409.88946533203125,495.4426574707031,581.7962036132812,13502.936438173056,0.8117256164550781,7.0390625,7.046875,7.0390625,>5,True,120,245,0.0078125,False,1736.4353420595407,,,,,
Garage1,Garage,1800,30.011706290999427,1,2,"574.82,409.17,652.03,698.81",574.8203125,409.1684875488281,652.031005859375,698.8089599609375,22363.34169987589,0.8362821936607361,4.25,4.2734375,4.25,3-5,True,336,553,0.0234375,False,2214.1628218594346,,,,,
Garage1,Garage,1800,30.011706290999427,2,2,"465.46,424.38,531.99,574.46",465.462158203125,424.37994384765625,531.9907836914062,574.4583129882812,9984.507614448667,0.8562430739402771,7.232421875,7.17578125,7.232421875,>5,True,16,195,0.056640625,False,1844.8244398890206,,,,,
Garage1,Garage,1824,30.411861166125163,1,2,"578.66,407.98,647.99,697.53",578.6551513671875,407.9786376953125,647.9892578125,697.5343627929688,20076.087465770543,0.8468683362007141,4.25390625,4.2578125,4.25390625,3-5,True,470,536,0.00390625,False,2019.616992282441,,,,,
Garage1,Garage,1824,30.411861166125163,2,2,"505.85,419.42,568.51,563.19",505.8467102050781,419.4238586425781,568.511962890625,563.1851806640625,9008.839570884593,0.8420112133026123,9.11328125,7.7265625,9.11328125,>5,True,8,154,1.38671875,True,1981.983334746117,,,,,
Garage1,Garage,1848,30.812016083160415,1,2,"570.95,405.52,657.55,698.18",570.9527587890625,405.51617431640625,657.5506591796875,698.1771240234375,25343.823770955205,0.8629082441329956,4.28125,4.2890625,4.28125,3-5,True,433,600,0.0078125,False,1918.8852508352213,,,,,
Garage1,Garage,1848,30.812016083160415,2,2,"539.96,413.96,586.13,556.32",539.9590454101562,413.9583435058594,586.1265258789062,556.3240966796875,6572.668129071593,0.64091956615448,,9.1640625,9.1640625,>5,False,0,7,,False,2806.589011109905,,,,,
Garage1,Garage,1872,31.212171000195667,1,1,"565.58,405.88,655.37,677.09",565.5764770507812,405.8798828125,655.365478515625,677.0922241210938,24351.885311041027,0.897250235080719,4.4765625,4.4765625,4.4765625,3-5,True,391,605,0.0,False,2002.6241199741823,,,,,
Garage1,Garage,1896,31.612325875088573,1,1,"577.56,405.24,666.73,668.19",577.5562744140625,405.2350158691406,666.72705078125,668.1890869140625,23447.818663988262,0.8630111217498779,4.6953125,4.703125,4.6953125,3-5,True,375,547,0.0078125,False,1641.191722002219,,,,,
Garage1,Garage,1932,32.21255829115398,1,1,"624.01,408.13,705.48,650.34",624.0130615234375,408.1343078613281,705.477294921875,650.337646484375,19730.909307468683,0.7923562526702881,5.0546875,5.05859375,5.0546875,>5,True,332,472,0.00390625,False,1768.7945628500245,,,,,
Garage1,Garage,2064,34.41341016604565,1,2,"709.52,415.40,747.40,504.55",709.5245361328125,415.4024963378906,747.4000854492188,504.5466613769531,3376.3842192068696,0.6820501089096069,,11.48046875,11.48046875,>5,False,0,18,,False,2066.718228666975,,,,,
Garage1,Garage,2064,34.41341016604565,2,2,"901.06,411.06,942.05,449.04",901.0556030273438,411.0628967285156,942.0463256835938,449.0393371582031,1556.68173712492,0.42416760325431824,,,,,False,0,0,,False,2097.158321667479,,,,,
Garage1,Garage,2304,38.41495654103346,1,1,"612.59,409.12,661.73,565.48",612.5903930664062,409.1170349121094,661.7320556640625,565.4786376953125,7683.869127200916,0.7756804823875427,8.40625,7.62109375,8.40625,>5,True,1,129,0.78515625,True,2039.9862979268933,,,,,
Garage1,Garage,2340,39.01518820808269,1,1,"550.54,410.35,590.71,566.15",550.5353393554688,410.3509521484375,590.7141723632812,566.1478881835938,6259.739076085389,0.8054837584495544,7.75390625,7.83203125,7.75390625,>5,True,45,143,0.078125,False,2302.4344194875594,,,,,
Garage1,Garage,2376,39.61541979108006,1,1,"493.40,410.91,533.81,564.04",493.4007568359375,410.90570068359375,533.8068237304688,564.040283203125,6187.5661851502955,0.8423591256141663,7.810546875,7.818359375,7.810546875,>5,True,38,132,0.0078125,False,2541.2069968757755,,,,,
Garage1,Garage,2472,41.21603700006381,1,2,"374.67,405.08,438.48,589.19",374.6728820800781,405.0784606933594,438.475341796875,589.186279296875,11746.531679998152,0.8800843954086304,6.705078125,6.71875,6.705078125,>5,True,32,260,0.013671875,False,2819.070611209322,,,,,
Garage1,Garage,2472,41.21603700006381,2,2,"568.12,404.66,581.47,445.96",568.123291015625,404.6561279296875,581.4683837890625,445.9558410644531,551.1485032998025,0.25621747970581055,,18.34375,18.34375,>5,False,0,9,,False,3188.8536952195846,,,,,
Garage1,Garage,2532,42.216422458179295,1,2,"379.02,411.14,433.65,595.25",379.0192565917969,411.1425476074219,433.6524353027344,595.2490234375,10058.321995865554,0.8046076893806458,6.34375,6.373046875,6.34375,>5,True,49,214,0.029296875,False,2022.5044668280523,,,,,
Garage1,Garage,2532,42.216422458179295,2,2,"564.21,405.97,578.21,447.04",564.2132568359375,405.96832275390625,578.2109375,447.03521728515625,574.8412755131721,0.5814042687416077,,,,,False,0,0,,False,3906.9012775674532,,,,,
Garage1,Garage,2568,42.816653666086495,1,1,"423.08,406.20,481.59,584.83",423.076904296875,406.198974609375,481.5933837890625,584.834716796875,10453.134744286537,0.8660253286361694,6.9296875,6.953125,6.9296875,>5,True,44,226,0.0234375,False,1446.1542047879423,,,,,
Garage1,Garage,2616,43.616961958119646,1,2,"442.63,410.96,493.46,565.12",442.6291809082031,410.96142578125,493.4647521972656,565.1232299804688,7836.903387419879,0.8249759674072266,8.80859375,7.8359375,8.80859375,>5,True,2,114,0.97265625,True,1626.076586428439,,,,,
Garage1,Garage,2616,43.616961958119646,2,2,"555.04,409.13,570.85,449.77",555.0433959960938,409.1250915527344,570.8475952148438,449.7745056152344,642.4314379692078,0.43759578466415405,,18.296875,18.296875,>5,False,0,24,,False,3336.4097983900956,,,,,
Garage1,Garage,2652,44.21719304122962,1,2,"439.23,409.60,485.83,549.01",439.2272644042969,409.60162353515625,485.83026123046875,549.0064697265625,6496.683604611084,0.8537525534629822,,8.578125,8.578125,>5,False,0,21,,False,1627.554109969256,,,,,
Garage1,Garage,2652,44.21719304122962,2,2,"551.75,408.82,566.94,451.23",551.751220703125,408.8160095214844,566.9420776367188,451.2318420410156,644.3328435234725,0.3487405478954315,,18.5078125,18.5078125,>5,False,0,24,,False,2404.102716619318,,,,,
Garage1,Garage,2676,44.61734712519683,1,2,"437.34,409.28,480.15,541.16",437.33734130859375,409.276611328125,480.1452941894531,541.162841796875,5645.77953954041,0.8307268023490906,9.0,9.0625,9.0,>5,True,14,120,0.0625,False,1977.9170994288836,,,,,
Garage1,Garage,2676,44.61734712519683,2,2,"548.77,406.61,564.64,451.83",548.7705078125,406.61004638671875,564.6373291015625,451.83251953125,717.5368996337056,0.3624523878097534,,18.390625,18.390625,>5,False,0,27,,False,1462.9326992889894,,,,,
Garage1,Garage,2700,45.01750108320266,1,2,"441.03,405.94,483.39,530.82",441.02581787109375,405.93695068359375,483.39422607421875,530.8165283203125,5290.94892154634,0.8268386721611023,,9.578125,9.578125,>5,False,0,63,,False,1913.3853259529878,,,,,
Garage1,Garage,2700,45.01750108320266,2,2,"545.46,407.26,561.57,451.20",545.45654296875,407.25531005859375,561.567626953125,451.2034606933594,708.0523458346725,0.5251104831695557,,18.4765625,18.4765625,>5,False,0,26,,False,1903.1582143619976,,,,,
Garage1,Garage,2784,46.418040291173384,1,2,"488.42,411.82,529.47,518.67",488.4174499511719,411.8198547363281,529.474609375,518.6683349609375,4386.895086775534,0.7403966784477234,,17.578125,17.578125,>5,False,0,11,,False,2116.2374636068416,,,,,
Garage1,Garage,2784,46.418040291173384,2,2,"529.70,408.20,548.48,459.89",529.6961059570312,408.20123291015625,548.4779052734375,459.886962890625,970.751008015126,0.39080432057380676,,18.328125,18.328125,>5,False,0,3,,False,1963.7783986686393,,,,,
Garage1,Garage,2856,47.618502125144005,1,2,"563.28,409.50,600.87,523.92",563.2791137695312,409.50421142578125,600.8682861328125,523.9176635742188,4300.706973485649,0.8119503259658813,,11.3984375,11.3984375,>5,False,0,2,,False,3111.7677638255423,,,,,
Garage1,Garage,2856,47.618502125144005,2,2,"516.87,406.93,536.92,461.46",516.8688354492188,406.92828369140625,536.9219970703125,461.46075439453125,1093.5484486073256,0.6426441073417664,,,,,False,0,0,,False,1601.093352306909,,,,,
Garage1,Garage,2892,48.21873320802115,1,2,"575.84,409.32,621.46,534.66",575.83984375,409.3160705566406,621.4560546875,534.6626586914062,5717.836404651403,0.8052302002906799,,10.75,10.75,>5,False,0,4,,False,3086.8573364124245,,,,,
Garage1,Garage,2892,48.21873320802115,2,2,"511.77,405.98,532.60,462.74",511.77447509765625,405.9753112792969,532.5999755859375,462.73846435546875,1182.1210721042007,0.7876777648925781,,,,,False,0,0,,False,1467.8632825935279,,,,,
Garage1,Garage,2916,48.61888716602698,1,2,"580.31,411.12,625.30,541.06",580.3056640625,411.1183776855469,625.299072265625,541.064453125,5846.71681664139,0.8269230723381042,,9.046875,9.046875,>5,False,0,33,,False,3480.4007373348086,,,,,
Garage1,Garage,2916,48.61888716602698,2,2,"509.05,406.03,529.85,465.38",509.04522705078125,406.0345458984375,529.847412109375,465.37554931640625,1234.4225346632302,0.7568691372871399,,,,,False,0,0,,False,1915.2623047367092,,,,,
Garage1,Garage,2988,49.81934912502766,1,2,"557.68,408.19,609.90,567.48",557.6766357421875,408.1944580078125,609.9041748046875,567.4775390625,8318.963337779045,0.8568481206893921,7.830078125,7.8359375,7.830078125,>5,True,54,199,0.005859375,False,3240.9073190943172,,,,,
Garage1,Garage,2988,49.81934912502766,2,2,"504.04,406.02,526.79,468.47",504.04248046875,406.01641845703125,526.7852783203125,468.47021484375,1420.374066285789,0.7099043726921082,,,,,False,0,0,,False,2304.806699939655,,,,,
Garage1,Garage,3012,50.21950316615403,1,2,"540.39,411.57,596.05,578.07",540.3890991210938,411.5672607421875,596.0498657226562,578.0700073242188,9267.67051602155,0.8603209853172302,7.328125,7.3515625,7.328125,>5,True,90,235,0.0234375,False,2905.866854625686,,,,,
Garage1,Garage,3012,50.21950316615403,2,2,"505.20,406.03,526.53,471.63",505.1961364746094,406.03436279296875,526.5255126953125,471.6280517578125,1399.0724696349353,0.7206757664680481,,,,,False,0,0,,False,2734.615008082326,,,,,
Garage1,Garage,3048,50.819734333083034,1,2,"510.85,408.01,569.94,594.56",510.8521728515625,408.0128173828125,569.9401245117188,594.5575561523438,11022.546506870538,0.8475678563117981,6.6171875,6.62109375,6.6171875,>5,True,142,268,0.00390625,False,2370.5763337289213,,,,,
Garage1,Garage,3048,50.819734333083034,2,2,"504.81,405.85,525.75,446.08",504.810791015625,405.8486022949219,525.7465209960938,446.080810546875,842.2906484808773,0.3530096709728241,,,,,False,0,0,,False,2666.7813419444915,,,,,
Garage1,Garage,3072,51.219888291088864,1,1,"473.82,410.74,546.01,608.72",473.8219299316406,410.7380676269531,546.00634765625,608.7197265625,14291.190770414658,0.8908342719078064,6.265625,6.27734375,6.265625,>5,True,189,323,0.01171875,False,1641.1784763433438,,,,,
Garage1,Garage,3108,51.82011937513016,1,2,"427.80,407.97,493.41,632.07",427.79736328125,407.97027587890625,493.4107360839844,632.0650024414062,14703.610837072134,0.8708744049072266,5.53125,5.54296875,5.53125,>5,True,283,366,0.01171875,False,1720.832576986468,,,,,
Garage1,Garage,3108,51.82011937513016,2,2,"507.11,407.22,533.12,480.87",507.11279296875,407.2160339355469,533.1205444335938,480.8659973144531,1915.4699429534376,0.8042846322059631,,,,,False,0,0,,False,4261.7148790432075,,,,,
Garage1,Garage,3132,52.22027345816605,1,2,"349.90,412.05,467.39,644.28",349.9018859863281,412.04864501953125,467.388427734375,644.280029296875,27284.062224106863,0.9020313024520874,5.2265625,5.24609375,5.2265625,>5,True,324,536,0.01953125,False,1329.4547423762158,,,,,
Garage1,Garage,3132,52.22027345816605,2,2,"510.11,407.83,537.41,483.67",510.1085205078125,407.8325500488281,537.4102783203125,483.6711730957031,2070.527719259262,0.7853363752365112,,,,,False,0,0,,False,3490.290300873259,,,,,
Garage1,Garage,3156,52.620427458081394,1,2,"312.94,410.73,392.46,652.75",312.93695068359375,410.72918701171875,392.461669921875,652.747314453125,19246.423635352403,0.7877689599990845,4.8515625,4.859375,4.8515625,3-5,True,268,404,0.0078125,False,1711.2516003457938,,,,,
Garage1,Garage,3156,52.620427458081394,2,2,"509.24,407.07,537.42,487.59",509.24432373046875,407.0739440917969,537.4202270507812,487.5912780761719,2268.648617953062,0.8189215064048767,,,,,False,0,0,,False,3206.0189905362663,,,,,
Garage2,Garage,0,0.0,1,1,"0.28,392.89,154.97,719.29",0.28347015380859375,392.893798828125,154.9668731689453,719.2904663085938,50488.14725867892,0.90962153673172,2.091796875,2.080078125,2.091796875,<3,True,168,1223,0.01171875,False,1014.6693590960612,,,,,
Garage2,Garage,24,0.4001566250808537,1,1,"119.54,392.07,260.36,719.51",119.54157257080078,392.0650634765625,260.358642578125,719.5123291015625,46110.164527222514,0.8818378448486328,2.375,2.376953125,2.375,<3,True,1098,1132,0.001953125,False,557.1588212708549,,,,,
Garage2,Garage,60,1.0003912500105798,1,1,"286.66,387.78,400.09,719.26",286.66400146484375,387.77984619140625,400.09246826171875,719.2640380859375,37599.74365399778,0.8819544315338135,2.947265625,2.951171875,2.947265625,<3,True,803,905,0.00390625,False,1094.9069642022341,,,,,
Garage2,Garage,84,1.4005475419107825,1,1,"355.70,397.75,481.20,719.59",355.6993408203125,397.74810791015625,481.1970520019531,719.586181640625,40389.94162428193,0.8855903148651123,3.275390625,3.298828125,3.275390625,3-5,True,606,838,0.0234375,False,869.6533488056097,,,,,
Garage2,Garage,120,2.0007817500736564,1,1,"479.91,400.45,610.77,706.29",479.90899658203125,400.4469909667969,610.7697143554688,706.2877197265625,40022.53728985414,0.8842340111732483,3.931640625,3.9609375,3.931640625,3-5,True,633,915,0.029296875,False,888.3021343623047,,,,,
Garage2,Garage,144,2.4009379579219967,1,1,"537.89,403.66,662.24,696.65",537.8931884765625,403.6641540527344,662.23876953125,696.6531372070312,36431.88535294309,0.8843225836753845,4.2890625,4.31640625,4.2890625,3-5,True,561,850,0.02734375,False,950.3104015512139,,,,,
Garage2,Garage,168,2.8010939999949187,1,1,"579.96,398.19,718.82,672.31",579.9625244140625,398.1903991699219,718.8248901367188,672.3085327148438,38064.69251152687,0.9248294234275818,4.62890625,4.66796875,4.62890625,3-5,True,367,732,0.0390625,False,1193.5730315695732,,,,,
Garage2,Garage,216,3.6014061248861253,1,1,"696.33,406.10,779.69,636.14",696.328125,406.09771728515625,779.691650390625,636.1417236328125,19177.27936412394,0.8971468210220337,5.25,5.28125,5.25,>5,True,205,399,0.03125,False,1073.5018998966564,,,,,
Garage2,Garage,444,7.402886291965842,1,1,"735.41,414.13,822.97,563.78",735.4099731445312,414.12847900390625,822.9669799804688,563.7750244140625,13102.603599451482,0.8212814331054688,,17.484375,17.484375,>5,False,0,7,,False,1228.3755949494948,,,,,
Garage2,Garage,468,7.803041874896735,1,1,"701.31,408.66,756.23,556.77",701.3123779296875,408.66082763671875,756.232421875,556.76806640625,8134.0560618415475,0.8141403794288635,,8.3046875,8.3046875,>5,False,0,89,,False,2143.958346011257,,,,,
Garage2,Garage,492,8.203197374939919,1,1,"666.48,411.76,707.76,552.89",666.48486328125,411.7606201171875,707.7562866210938,552.8919067382812,5824.689076635987,0.722063422203064,,8.4453125,8.4453125,>5,False,0,86,,False,2062.347252079434,,,,,
Garage2,Garage,516,8.603353000013158,1,1,"608.34,412.38,684.48,554.38",608.335693359375,412.37982177734375,684.4786376953125,554.3760375976562,10812.009957119823,0.8472281694412231,,8.9609375,8.9609375,>5,False,0,33,,False,1458.6798841633595,,,,,
Garage2,Garage,552,9.203586291987449,1,1,"553.12,408.04,612.14,550.54",553.1163330078125,408.0352478027344,612.1416015625,550.544921875,8411.671783756465,0.760676920413971,9.109375,8.65625,9.109375,>5,True,3,135,0.453125,False,1780.5361388359115,,,,,
Garage2,Garage,648,10.804207999957725,1,1,"395.52,408.38,455.83,544.31",395.51641845703125,408.3791198730469,455.8333740234375,544.3060302734375,8198.697414899245,0.79732346534729,,13.0859375,13.0859375,>5,False,0,5,,False,1657.4188125109638,,,,,
Garage2,Garage,672,11.204363292083144,1,1,"353.89,406.12,417.86,543.22",353.8921203613281,406.1172180175781,417.85528564453125,543.222412109375,8769.682190879248,0.8707215189933777,,9.8515625,9.8515625,>5,False,0,18,,False,2698.1903884246885,,,,,
Garage2,Garage,912,15.205915041966364,1,1,"416.60,405.86,487.17,556.97",416.6020202636719,405.86041259765625,487.1706848144531,556.9718627929688,10663.733238615096,0.888767421245575,8.6953125,8.9921875,8.6953125,>5,True,5,43,0.296875,False,1876.1519055058475,,,,,
Garage2,Garage,960,16.006224875105545,1,1,"488.33,404.37,539.25,571.65",488.3330383300781,404.3697509765625,539.250244140625,571.6539916992188,8517.646113736555,0.8319619297981262,7.5390625,7.55078125,7.5390625,>5,True,77,207,0.01171875,False,2226.797835602899,,,,,
Garage2,Garage,996,16.606457124929875,1,1,"537.10,403.46,608.83,588.77",537.09716796875,403.46063232421875,608.825927734375,588.7734375,13292.257683947682,0.8701013326644897,6.8671875,6.88671875,6.8671875,>5,True,135,252,0.01953125,False,2006.8621500378176,,,,,
Garage2,Garage,1056,17.606844166992232,1,1,"644.80,402.05,710.36,618.27",644.8043212890625,402.05096435546875,710.3626708984375,618.272705078125,14175.140471443534,0.8756043314933777,5.6328125,5.65625,5.6328125,>5,True,243,354,0.0234375,False,1760.12466062887,,,,,
Garage2,Garage,1080,18.006998874945566,1,1,"688.21,405.10,799.97,648.94",688.2108764648438,405.09869384765625,799.9674682617188,648.9424438476562,27251.14643096924,0.8871135711669922,5.22265625,5.2265625,5.22265625,>5,True,25,479,0.00390625,False,918.4477897569435,,,,,
Garage2,Garage,1308,21.808466957882047,1,2,"735.08,405.92,866.28,677.11",735.079345703125,405.9244079589844,866.2769165039062,677.113525390625,35579.35343463905,0.8768243193626404,5.330078125,5.88671875,5.330078125,>5,True,54,212,0.556640625,True,1421.620377484992,,,,,
Garage2,Garage,1308,21.808466957882047,2,2,"771.59,408.20,866.67,669.92",771.589111328125,408.20367431640625,866.6680908203125,669.9216918945312,24883.882026046515,0.33745285868644714,5.7578125,5.09375,5.7578125,>5,True,1,31,0.6640625,True,1921.8010911959989,,,,,
Garage2,Garage,1332,22.208621375029907,1,1,"723.40,398.42,824.45,697.41",723.40283203125,398.4169006347656,824.4462890625,697.4085693359375,30211.151829108596,0.8669294714927673,4.14453125,4.1640625,4.14453125,3-5,True,371,665,0.01953125,False,1638.9512805288566,,,,,
Garage2,Garage,1356,22.608775625005364,1,1,"660.83,395.55,782.58,719.70",660.8345947265625,395.5522155761719,782.575927734375,719.7003173828125,39462.222005892545,0.891627311706543,3.7734375,3.810546875,3.7734375,3-5,True,371,920,0.037109375,False,1536.0019549641916,,,,,
Garage2,Garage,1380,23.008930082898587,1,1,"581.46,396.23,761.63,719.59",581.4627685546875,396.2300720214844,761.6268310546875,719.5925903320312,58258.30495905876,0.9331954717636108,3.31640625,3.337890625,3.31640625,3-5,True,827,1147,0.021484375,False,1083.481075983124,,,,,
Garage2,Garage,1404,23.40908437501639,1,1,"540.29,394.63,671.12,719.54",540.2894897460938,394.6308288574219,671.124755859375,719.5401611328125,42509.59895093925,0.906173825263977,2.98046875,2.978515625,2.98046875,<3,True,783,1052,0.001953125,False,890.2261019793533,,,,,
Garage2,Garage,1428,23.80923862499185,1,1,"378.67,384.09,604.04,719.41",378.669677734375,384.0940246582031,604.0444946289062,719.4139404296875,75572.66461808793,0.9390770196914673,2.62890625,2.64453125,2.62890625,<3,True,919,1285,0.015625,False,641.9449291673933,,,,,
Garage2,Garage,1452,24.209392958087847,1,1,"277.44,380.72,411.20,718.71",277.4417724609375,380.715087890625,411.203125,718.7103881835938,45210.70851903409,0.8798856735229492,2.376953125,2.3828125,2.376953125,<3,True,274,916,0.005859375,False,1062.2742256371284,,,,,
