image_id,recording,frame_id,time_sec,worker_index,source,yolo_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,inner_x1,inner_y1,inner_x2,inner_y2,depth_region_x1,depth_region_y1,depth_region_x2,depth_region_y2,depth_z_m,distance_band,depth_status,depth_source,depth_valid_count,depth_high_conf_count,depth_reason,manual_distance_band,distance_band_gt,count_ok,updated_at
Garage1_001008,Garage1,1008,16.806574875023216,1,yolo,0.901246,323.295471,408.933929,403.479187,645.791626,343.3414,444.462584,383.433258,551.048547,91,118,103,147,5.195312,Close,valid_depth,conf2,343,325,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001032,Garage1,1032,17.206730875186622,1,yolo,0.854854,302.93219,407.516785,390.848633,671.142578,324.911301,447.060654,368.869522,565.692261,86,119,99,151,4.71875,Close,valid_depth,conf2,403,224,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001056,Garage1,1056,17.60688691609539,1,edited,0.905044,237.971649,405.059265,362.818542,686.654297,269.183372,447.29852,331.606819,574.016284,71,119,89,154,4.480469,Close,valid_depth,conf2,496,361,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001356,Garage1,1356,22.608834458049387,1,yolo,0.844929,292.606201,409.267365,386.193359,692.396973,316.002991,451.736806,362.796569,579.14513,84,120,97,155,4.257812,Close,valid_depth,conf2,372,268,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001380,Garage1,1380,23.00899004121311,1,yolo,0.892087,341.32959,406.690613,489.062134,692.110291,378.262726,449.503565,452.128998,577.94242,100,119,121,155,4.25,Close,valid_depth,conf2,510,315,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001428,Garage1,1428,23.809300958178937,1,yolo,0.826623,521.324219,405.133392,591.150269,688.783936,538.780732,447.680974,573.693756,575.323718,143,119,153,154,4.3125,Close,valid_depth,conf2,330,306,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001704,Garage1,1704,28.41108625009656,1,yolo,0.873385,665.89502,407.357941,761.342163,705.431519,689.756806,452.068978,737.480377,586.202088,183,120,197,157,4.230469,Close,valid_depth,conf2,491,392,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001704,Garage1,1704,28.41108625009656,2,yolo,0.873897,234.243759,420.801544,340.251282,628.791016,260.74564,451.999965,313.749401,545.595227,69,120,84,146,5.441406,Close,valid_depth,conf1,282,,fallback_conf_ge_1,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001728,Garage1,1728,28.81124141602777,1,yolo,0.905576,634.700562,403.564514,741.822998,707.288696,661.481171,449.123141,715.042389,585.799023,176,119,191,157,4.125,Close,valid_depth,conf1,506,,fallback_conf_ge_1,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001728,Garage1,1728,28.81124141602777,2,yolo,0.745595,321.087463,414.207825,387.746796,608.451599,337.752296,443.344391,371.081963,530.754089,90,118,99,142,5.878906,Close,valid_depth,conf2,160,41,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001752,Garage1,1752,29.21139641618356,1,yolo,0.873967,590.72522,408.965881,713.065674,703.391418,621.310334,453.129712,682.48056,585.621203,165,120,182,157,4.15625,Close,valid_depth,conf2,555,492,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001752,Garage1,1752,29.21139641618356,2,yolo,0.709502,382.618835,417.358948,442.150909,591.4599,397.501853,443.474091,427.267891,521.819519,106,118,114,140,6.392578,Far,valid_depth,conf2,153,28,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_001776,Garage1,1776,29.611551333218813,1,yolo,0.80444,585.849182,406.483154,654.386475,693.457214,602.983505,449.529263,637.252152,578.66759,160,119,170,155,4.167969,Close,valid_depth,conf2,341,280,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001776,Garage1,1776,29.611551333218813,2,yolo,0.811726,416.894623,409.889465,495.442657,581.796204,436.531632,435.675476,475.805649,513.033508,116,116,127,137,7.005859,Far,valid_depth,conf2,146,86,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_001800,Garage1,1800,30.011706290999427,1,yolo,0.836282,574.820312,409.168488,652.031006,698.80896,594.122985,452.614559,632.728333,582.952771,158,120,169,156,4.257812,Close,valid_depth,conf2,382,221,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001800,Garage1,1800,30.011706290999427,2,yolo,0.856243,465.462158,424.379944,531.990784,574.458313,482.094314,446.891699,515.358628,514.426965,128,119,138,138,7.160156,Far,valid_depth,conf2,133,5,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_001824,Garage1,1824,30.411861166125163,1,yolo,0.846868,578.655151,407.978638,647.989258,697.534363,595.988678,451.411997,630.655731,581.712073,158,120,169,156,4.261719,Close,valid_depth,conf2,383,351,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001824,Garage1,1824,30.411861166125163,2,yolo,0.842011,505.84671,419.423859,568.511963,563.185181,521.513023,440.988057,552.84565,505.680652,139,117,148,135,7.707031,Far,valid_depth,conf1,91,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_001848,Garage1,1848,30.812016083160415,1,edited,0.862908,573.952759,407.516174,660.550659,700.177124,595.602234,451.415317,638.901184,583.112744,158,120,171,156,4.296875,Close,valid_depth,conf2,458,336,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001848,Garage1,1848,30.812016083160415,2,edited,0.64092,543.959045,412.958344,574.126526,552.324097,551.500915,433.863207,566.584656,496.577796,147,115,152,133,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_001872,Garage1,1872,31.212171000195667,1,yolo,0.89725,565.576477,405.879883,655.365479,677.092224,588.023727,446.561734,632.918229,568.607288,156,119,169,152,4.480469,Close,valid_depth,conf2,419,378,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001896,Garage1,1896,31.612325875088573,1,yolo,0.863011,577.556274,405.235016,666.727051,668.189087,599.848968,444.678127,644.434357,563.007459,159,118,172,151,4.6875,Close,valid_depth,conf2,406,342,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_001932,Garage1,1932,32.21255829115398,1,yolo,0.792356,624.013062,408.134308,705.477295,650.337646,644.37912,444.464809,685.111237,553.456311,171,118,183,148,5.046875,Close,valid_depth,conf2,328,256,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_002064,Garage1,2064,34.41341016604565,1,yolo,0.68205,709.524536,415.402496,747.400085,504.546661,718.993423,428.774121,737.931198,468.888995,191,114,197,126,11.480469,Far,valid_depth,conf1,18,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002064,Garage1,2064,34.41341016604565,2,edited,0.424168,900.055603,407.062897,951.046326,463.039337,912.803284,415.459363,938.298645,440.648761,243,110,251,118,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,3-6,3-6,true,2026-07-02T11:42:37-04:00
Garage1_002304,Garage1,2304,38.41495654103346,1,edited,0.77568,609.590393,409.117035,658.732056,565.478638,621.875809,432.571275,646.44664,502.933997,165,115,173,135,7.609375,Far,valid_depth,conf1,66,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002340,Garage1,2340,39.01518820808269,1,yolo,0.805484,550.535339,410.350952,590.714172,566.147888,560.580047,433.720492,580.669464,503.829114,149,115,155,135,7.742188,Far,valid_depth,conf2,101,39,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002376,Garage1,2376,39.61541979108006,1,yolo,0.842359,493.400757,410.905701,533.806824,564.040283,503.502274,433.875888,523.705307,502.78645,134,115,140,135,7.816406,Far,valid_depth,conf2,88,31,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002472,Garage1,2472,41.21603700006381,1,yolo,0.880084,374.672882,405.078461,438.475342,589.186279,390.623497,432.694634,422.524727,515.543152,104,115,113,138,6.707031,Far,valid_depth,conf2,188,22,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002472,Garage1,2472,41.21603700006381,2,yolo,0.256217,568.123291,404.656128,581.468384,445.955841,571.459564,410.851085,578.132111,429.435956,152,109,155,115,18.4375,Far,valid_depth,conf1,1,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002532,Garage1,2532,42.216422458179295,1,yolo,0.804608,379.019257,411.142548,433.652435,595.249023,392.677551,438.758519,419.994141,521.606433,104,117,112,140,6.34375,Far,valid_depth,conf2,155,47,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002532,Garage1,2532,42.216422458179295,2,edited,0.581404,565.463257,406.593323,579.460938,447.660217,568.962677,412.753357,575.961518,431.233459,151,110,154,115,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002568,Garage1,2568,42.816653666086495,1,yolo,0.866025,423.076904,406.198975,481.593384,584.834717,437.706024,432.994336,466.964264,513.38042,116,115,125,137,6.929688,Far,valid_depth,conf2,168,44,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002568,Garage1,2568,42.816653666086495,2,added,,559.333332,409.666662,575.333332,447.666662,563.333332,415.366662,571.333332,432.466662,150,110,153,116,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002616,Garage1,2616,43.616961958119646,1,yolo,0.824976,442.629181,410.961426,493.464752,565.12323,455.338074,434.085697,480.755859,503.458508,121,115,129,135,7.828125,Far,valid_depth,conf1,75,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002616,Garage1,2616,43.616961958119646,2,yolo,0.437596,555.043396,409.125092,570.847595,449.774506,558.994446,415.222504,566.896545,433.51474,149,110,152,116,18.328125,Far,valid_depth,conf1,18,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002652,Garage1,2652,44.21719304122962,1,yolo,0.853753,439.227264,409.601624,485.830261,549.00647,450.878013,430.512351,474.179512,493.244532,120,114,127,132,8.601562,Far,valid_depth,conf1,14,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002652,Garage1,2652,44.21719304122962,2,yolo,0.348741,551.751221,408.81601,566.942078,451.231842,555.548935,415.178385,563.144364,434.265509,148,110,151,116,18.539062,Far,valid_depth,conf1,18,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002676,Garage1,2676,44.61734712519683,1,yolo,0.830727,437.337341,409.276611,480.145294,541.162842,448.039329,429.059546,469.443306,488.40835,119,114,126,131,9,Far,valid_depth,conf2,75,12,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002676,Garage1,2676,44.61734712519683,2,yolo,0.362452,548.770508,406.610046,564.637329,451.83252,552.737213,413.393417,560.670624,433.74353,147,110,150,116,18.421875,Far,valid_depth,conf1,18,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002700,Garage1,2700,45.01750108320266,1,yolo,0.826839,441.025818,405.936951,483.394226,530.816528,451.61792,424.668888,472.802124,480.864697,120,113,127,129,9.625,Far,valid_depth,conf1,32,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002700,Garage1,2700,45.01750108320266,2,yolo,0.52511,545.456543,407.25531,561.567627,451.203461,549.484314,413.847533,557.539856,433.624201,146,110,149,116,18.515625,Far,valid_depth,conf1,17,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002784,Garage1,2784,46.418040291173384,1,edited,0.740397,497.41745,412.819855,529.474609,518.668335,505.43174,428.697127,521.460319,476.328943,134,114,140,128,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002784,Garage1,2784,46.418040291173384,2,yolo,0.390804,529.696106,408.201233,548.477905,459.886963,534.391556,415.954093,543.782455,439.212671,142,110,146,118,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002856,Garage1,2856,47.618502125144005,1,yolo,0.81195,563.279114,409.504211,600.868286,523.917664,572.676407,426.666229,591.470993,478.152283,152,113,158,128,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002856,Garage1,2856,47.618502125144005,2,edited,0.642644,516.202168,403.594951,536.25533,458.127421,521.215459,411.774821,531.242039,436.314433,138,109,142,117,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002892,Garage1,2892,48.21873320802115,1,yolo,0.80523,575.839844,409.316071,621.456055,534.662659,587.243897,428.118059,610.052002,484.524024,156,114,163,130,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002892,Garage1,2892,48.21873320802115,2,yolo,0.787678,511.774475,405.975311,532.599976,462.738464,516.98085,414.489784,527.393601,440.033203,137,110,141,118,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002916,Garage1,2916,48.61888716602698,1,yolo,0.826923,580.305664,411.118378,625.299072,541.064453,591.554016,430.610289,614.05072,489.086023,157,114,164,131,9.046875,Far,valid_depth,conf1,14,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002916,Garage1,2916,48.61888716602698,2,yolo,0.756869,509.045227,406.034546,529.847412,465.375549,514.245773,414.935696,524.646866,441.639148,137,110,140,118,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_002988,Garage1,2988,49.81934912502766,1,yolo,0.856848,557.676636,408.194458,609.904175,567.477539,570.733521,432.08692,596.84729,503.764307,152,115,160,135,7.832031,Far,valid_depth,conf2,150,43,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_002988,Garage1,2988,49.81934912502766,2,yolo,0.709904,504.04248,406.016418,526.785278,468.470215,509.72818,415.384488,521.099579,443.488696,135,110,139,119,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_003012,Garage1,3012,50.21950316615403,1,yolo,0.860321,540.389099,411.567261,596.049866,578.070007,554.304291,436.542673,582.134674,511.468909,147,116,156,137,7.328125,Far,valid_depth,conf2,172,84,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_003012,Garage1,3012,50.21950316615403,2,yolo,0.720676,505.196136,406.034363,526.525513,471.628052,510.52848,415.873416,521.193169,445.390576,136,110,139,119,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_003048,Garage1,3048,50.819734333083034,1,yolo,0.847568,510.852173,408.012817,569.940125,594.557556,525.624161,435.994528,555.168137,519.93966,140,116,149,139,6.619141,Far,valid_depth,conf2,190,122,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_003048,Garage1,3048,50.819734333083034,2,yolo,0.35301,504.810791,405.848602,525.746521,446.080811,510.044724,411.883433,520.512588,429.987927,136,109,139,115,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_003072,Garage1,3072,51.219888291088864,1,yolo,0.890834,473.82193,410.738068,546.006348,608.719727,491.868035,440.435317,527.960244,529.527063,131,117,141,142,6.265625,Far,valid_depth,conf2,238,171,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_003108,Garage1,3108,51.82011937513016,1,yolo,0.870874,427.797363,407.970276,493.410736,632.065002,444.200706,441.584485,477.007393,542.427112,118,117,128,145,5.53125,Close,valid_depth,conf2,252,215,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_003108,Garage1,3108,51.82011937513016,2,yolo,0.804285,507.112793,407.216034,533.120544,480.865997,513.614731,418.263528,526.618606,451.406012,136,111,141,121,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_003132,Garage1,3132,52.22027345816605,1,yolo,0.902031,349.901886,412.048645,467.388428,644.280029,379.273522,446.883353,438.016792,551.387475,101,119,117,148,5.214844,Close,valid_depth,conf2,357,239,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_003132,Garage1,3132,52.22027345816605,2,yolo,0.785336,510.108521,407.83255,537.410278,483.671173,516.93396,419.208343,530.584839,453.335724,137,111,142,121,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_003156,Garage1,3156,52.620427458081394,1,yolo,0.787769,312.936951,410.729187,392.46167,652.747314,332.818131,447.031906,372.58049,555.940063,88,119,100,149,4.851562,Close,valid_depth,conf2,284,228,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_003156,Garage1,3156,52.620427458081394,2,yolo,0.818922,509.244324,407.073944,537.420227,487.591278,516.2883,419.151544,530.376251,455.384344,137,111,142,122,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage2_000000,Garage2,0,0.0,1,yolo,0.909622,0.28347,392.893799,154.966873,719.290466,38.954321,441.853299,116.296022,588.731799,10,117,32,157,2.099609,Very_Close,valid_depth,conf2,840,124,conf_eq_2,,Very_Close,true,2026-07-02T11:42:37-04:00
Garage2_000024,Garage2,24,0.4001566250808537,1,yolo,0.881838,119.541573,392.065063,260.358643,719.512329,154.74584,441.182153,225.154375,588.533423,41,117,61,157,2.394531,Very_Close,valid_depth,conf2,789,736,conf_eq_2,,Very_Close,true,2026-07-02T11:42:37-04:00
Garage2_000060,Garage2,60,1.0003912500105798,1,yolo,0.881954,286.664001,387.779846,400.092468,719.264038,315.021118,437.502475,371.735351,586.670361,84,116,100,157,2.955078,Very_Close,valid_depth,conf2,605,533,conf_eq_2,,Very_Close,true,2026-07-02T11:42:37-04:00
Garage2_000084,Garage2,84,1.4005475419107825,1,yolo,0.88559,355.699341,397.748108,481.197052,719.586182,387.073769,446.023819,449.822624,590.850952,103,118,120,158,3.277344,Close,valid_depth,conf2,534,442,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_000120,Garage2,120,2.0007817500736564,1,yolo,0.884234,479.908997,400.446991,610.769714,706.28772,512.624176,446.3231,578.054535,583.951428,136,119,155,156,3.9375,Close,valid_depth,conf2,594,377,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_000144,Garage2,144,2.4009379579219967,1,yolo,0.884323,537.893188,403.664154,662.23877,696.653137,568.979583,447.612501,631.152375,579.457544,151,119,169,155,4.25,Close,valid_depth,conf2,540,365,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_000168,Garage2,168,2.8010939999949187,1,yolo,0.924829,579.962524,398.190399,718.82489,672.308533,614.678115,439.308119,684.109299,562.661279,163,117,183,151,4.613281,Close,valid_depth,conf2,428,257,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_000216,Garage2,216,3.6014061248861253,1,yolo,0.897147,696.328125,406.097717,779.69165,636.141724,717.169006,440.604318,758.850769,544.124121,191,117,203,146,5.253906,Close,valid_depth,conf2,296,216,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_000444,Garage2,444,7.402886291965842,1,yolo,0.821281,735.409973,414.128479,822.96698,563.775024,757.299225,436.575461,801.077728,503.916406,201,116,214,135,17.515625,Far,valid_depth,conf1,10,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000468,Garage2,468,7.803041874896735,1,yolo,0.81414,701.312378,408.660828,756.232422,556.768066,715.042389,430.876914,742.502411,497.525171,190,114,199,133,8.300781,Far,valid_depth,conf1,56,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000492,Garage2,492,8.203197374939919,1,yolo,0.722063,666.484863,411.76062,707.756287,552.891907,676.802719,432.930313,697.438431,496.439392,180,115,186,133,8.445312,Far,valid_depth,conf1,79,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000516,Garage2,516,8.603353000013158,1,yolo,0.847228,608.335693,412.379822,684.478638,554.376038,627.371429,433.679254,665.442902,497.577552,167,115,178,133,12.335938,Far,valid_depth,conf1,5,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000552,Garage2,552,9.203586291987449,1,yolo,0.760677,553.116333,408.035248,612.141602,550.544922,567.87265,429.411699,597.385285,493.541052,151,114,160,132,8.65625,Far,valid_depth,conf1,92,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000648,Garage2,648,10.804207999957725,1,yolo,0.797323,395.516418,408.37912,455.833374,544.30603,410.595657,428.768156,440.754135,489.935266,109,114,118,131,13.695312,Far,valid_depth,conf1,1,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000672,Garage2,672,11.204363292083144,1,yolo,0.870722,353.89212,406.117218,417.855286,543.222412,369.882911,426.682997,401.864494,488.380334,98,113,108,131,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage2_000912,Garage2,912,15.205915041966364,1,yolo,0.888767,416.60202,405.860413,487.170685,556.971863,434.244186,428.52713,469.528519,496.527283,115,114,126,133,13.46875,Far,valid_depth,conf1,7,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000960,Garage2,960,16.006224875105545,1,yolo,0.831962,488.333038,404.369751,539.250244,571.653992,501.06234,429.462387,526.520942,504.740296,133,114,141,135,7.539062,Far,valid_depth,conf2,146,66,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage2_000996,Garage2,996,16.606457124929875,1,yolo,0.870101,537.097168,403.460632,608.825928,588.773438,555.029358,431.257553,590.893738,514.648316,148,115,158,138,6.863281,Far,valid_depth,conf2,178,117,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage2_001056,Garage2,1056,17.606844166992232,1,yolo,0.875604,644.804321,402.050964,710.362671,618.272705,661.193908,434.484225,693.973084,531.784009,176,115,186,142,5.628906,Close,valid_depth,conf2,248,189,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_001080,Garage2,1080,18.006998874945566,1,yolo,0.887114,688.210876,405.098694,799.967468,648.942444,716.150024,441.675257,772.02832,551.404944,190,117,206,148,5.242188,Close,valid_depth,conf2,311,31,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_001308,Garage2,1308,21.808466957882047,1,edited,0.876824,766.079346,415.924408,852.276917,677.113525,787.628739,455.102776,830.727524,572.637878,210,121,222,153,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,3-6,3-6,true,2026-07-02T11:42:37-04:00
Garage2_001332,Garage2,1332,22.208621375029907,1,yolo,0.866929,723.402832,398.416901,824.446289,697.408569,748.663696,443.265651,799.185425,577.811902,199,118,214,155,4.144531,Close,valid_depth,conf2,520,370,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage2_001356,Garage2,1356,22.608775625005364,1,yolo,0.891627,660.834595,395.552216,782.575928,719.700317,691.269928,444.174431,752.140595,590.041077,184,118,201,158,3.773438,Close,valid_depth,conf2,636,368,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
